,filename,position
136,00006571.json,lateral
137,00006572.json,pa
138,00006573.json,ap
139,00006574.json,pa
140,00006575.json,pa
141,00006576.json,pa
142,00006577.json,pa
143,00006578.json,pa
144,00006579.json,ap
145,00006580.json,ap
146,00006581.json,ap
147,00006582.json,ap
148,00006583.json,supine
149,00006584.json,pa
150,00006585.json,pa
151,00006587.json,ap
152,00006588.json,supine
153,00006589.json,supine
154,00006590.json,ap
155,00006591.json,supine
156,00006592.json,ap
157,00006593.json,pa
158,00006594.json,pa
159,00006595.json,pa
160,00006596.json,lateral
161,00006597.json,pa
162,00006598.json,axial
163,00006599.json,pa
164,00006600.json,pa
165,00006601.json,lateral
166,00006602.json,pa
167,00006603.json,lateral
168,00006604.json,supine
169,00006605.json,ap
170,00006606.json,lateral
171,00006607.json,pa
172,00006608.json,supine
173,00006609.json,pa
174,00006610.json,pa
175,00006611.json,supine
176,00006612.json,supine
177,00006613.json,supine
178,00006614.json,ap
179,00006615.json,ap
180,00006616.json,ap
181,00006617.json,pa
182,00006618.json,pa
183,00006619.json,pa
184,00006620.json,supine
185,00006621.json,supine
186,00006622.json,pa
187,00006623.json,ap
188,00006624.json,pa
189,00006625.json,pa
190,00006626.json,supine
191,00006627.json,axial
192,00006628.json,lateral
193,00006629.json,supine
194,00006630.json,supine
195,00006631.json,ap
196,00006632.json,pa
197,00006633.json,ap
198,00006634.json,ap
199,00006635.json,ap
200,00006636.json,axial
201,00006637.json,supine
202,00006638.json,pa
203,00006639.json,supine
204,00006640.json,supine
205,00006641.json,supine
206,00006642.json,pa
207,00006643.json,supine
208,00006644.json,supine
209,00006645.json,pa
210,00006646.json,pa
211,00006647.json,supine
212,00006648.json,supine
213,00006649.json,pa
214,00006650.json,supine
215,00006651.json,axial
216,00006652.json,pa
217,00006653.json,supine
218,00006654.json,supine
219,00006655.json,supine
220,00006656.json,ap
221,00006657.json,ap
222,00006658.json,supine
223,00006659.json,ap
224,00006660.json,supine
225,00006661.json,supine
226,00006662.json,supine
227,00006663.json,ap
228,00006664.json,supine
229,00006665.json,supine
230,00006666.json,supine
231,00006667.json,supine
232,00006668.json,supine
233,00006669.json,pa
234,00006670.json,pa
235,00006671.json,pa
236,00006672.json,axial
237,00006673.json,axial
238,00006674.json,coronal
239,00006675.json,axial
240,00006676.json,axial
241,00006677.json,axial
242,00006678.json,axial
243,00006679.json,axial
244,00006680.json,axial
245,00006681.json,axial
246,00006682.json,axial
247,00006683.json,pa
248,00006684.json,lateral
249,00006685.json,pa
250,00006686.json,pa
251,00006687.json,pa
252,00006688.json,pa
253,00006689.json,pa
254,00006690.json,pa
255,00006691.json,pa
256,00006692.json,pa
257,00006693.json,pa
258,00006694.json,lateral
259,00006695.json,pa
260,00006696.json,lateral
261,00006697.json,pa
262,00006698.json,pa
263,00006699.json,pa
264,00006700.json,ap
265,00006701.json,ap
266,00006702.json,axial
267,00006703.json,axial
268,00006704.json,coronal
269,00006705.json,coronal
270,00006706.json,axial
271,00006707.json,axial
272,00006708.json,coronal
273,00006709.json,supine
274,00006710.json,ap
275,00006711.json,pa
276,00006712.json,pa
277,00006713.json,pa
278,00006714.json,ap
279,00006715.json,ap
280,00006716.json,axial
281,00006717.json,axial
282,00006718.json,axial
283,00006719.json,axial
284,00006720.json,pa
285,00006721.json,axial
286,00006722.json,coronal
287,00006723.json,pa
288,00006724.json,axial
289,00006725.json,ap
290,00006726.json,axial
291,00006727.json,coronal
292,00006728.json,pa
293,00006729.json,axial
294,00006730.json,coronal
295,00006731.json,pa
296,00006732.json,axial
297,00006733.json,coronal
298,00006734.json,ap
299,00006735.json,axial
300,00006736.json,coronal
301,00006737.json,axial
302,00006738.json,coronal
303,00006739.json,pa
304,00006740.json,ap
305,00006741.json,ap
306,00006742.json,axial
307,00006743.json,axial
308,00006744.json,coronal
309,00006745.json,coronal
310,00006746.json,coronal
311,00006747.json,supine
312,00006748.json,supine
313,00006749.json,pa
314,00006750.json,pa
315,00006751.json,pa
316,00006752.json,pa
317,00006753.json,pa
318,00006754.json,ap
319,00006755.json,pa
320,00006756.json,pa
321,00006757.json,axial
322,00006758.json,supine
323,00006759.json,pa
324,00006760.json,supine
325,00006761.json,pa
326,00006762.json,supine
327,00006763.json,supine
328,00006764.json,axial
329,00006765.json,pa
330,00006766.json,supine
331,00006767.json,pa
332,00006768.json,lateral
333,00006769.json,pa
334,00006770.json,ap
335,00006771.json,pa
336,00006772.json,supine
337,00006773.json,supine
338,00006774.json,pa
339,00006775.json,supine
340,00006776.json,pa
341,00006777.json,pa
342,00006778.json,pa
343,00006779.json,pa
344,00006780.json,pa
345,00006781.json,ap
346,00006782.json,supine
347,00006783.json,supine
348,00006784.json,pa
349,00006785.json,pa
350,00006786.json,supine
351,00006787.json,supine
352,00006788.json,supine
353,00006795.json,pa
354,00006796.json,pa
355,00006797.json,pa
356,00006799.json,supine
357,00006800.json,supine
358,00006801.json,ap
359,00006802.json,ap
360,00006803.json,pa
361,00006804.json,supine
362,00006805.json,supine
363,00006806.json,supine
364,00006807.json,supine
365,00006809.json,pa
366,00006810.json,pa
367,00006811.json,pa
368,00006812.json,pa
369,00006813.json,pa
370,00006814.json,supine
371,00006815.json,ap
372,00006816.json,supine
373,00006817.json,pa
374,00006818.json,pa
375,00006819.json,supine
376,00006820.json,pa
377,00006821.json,supine
378,00006822.json,pa
379,00006823.json,pa
380,00006824.json,supine
381,00006825.json,pa
382,00006826.json,supine
383,00006827.json,pa
384,00006828.json,pa
385,00006829.json,supine
386,00006830.json,supine
387,00006831.json,supine
388,00006832.json,lateral
389,00006833.json,pa
390,00006834.json,lateral
391,00006835.json,pa
392,00006836.json,supine
393,00006837.json,pa
394,00006838.json,lateral
395,00006839.json,pa
396,00006840.json,pa
397,00006841.json,pa
398,00006842.json,pa
399,00006843.json,lateral
400,00006844.json,pa
401,00006845.json,supine
402,00006846.json,pa
403,00006847.json,supine
404,00006848.json,supine
405,00006849.json,supine
406,00006850.json,supine
407,00006851.json,supine
408,00006852.json,pa
409,00006853.json,lateral
410,00006854.json,pa
411,00006855.json,pa
412,00006856.json,lateral
413,00006857.json,pa
414,00006858.json,lateral
415,00006859.json,supine
416,00006860.json,supine
417,00006861.json,lateral
418,00006862.json,pa
419,00006863.json,pa
420,00006864.json,lateral
421,00006865.json,pa
422,00006866.json,pa
423,00006867.json,pa
424,00006868.json,lateral
425,00006869.json,pa
426,00006870.json,lateral
427,00006871.json,pa
428,00006872.json,pa
429,00006873.json,lateral
430,00006874.json,pa
431,00006875.json,pa
432,00006876.json,lateral
433,00006877.json,pa
434,00006878.json,pa
435,00006879.json,supine
436,00006880.json,ap
437,00006881.json,ap
438,00006882.json,ap
439,00006883.json,ap
440,00006884.json,supine
441,00006885.json,pa
442,00006886.json,lateral
443,00006887.json,pa
444,00006888.json,pa
445,00006889.json,pa
446,00006890.json,pa
447,00006891.json,lateral
448,00006892.json,pa
449,00006893.json,supine
450,00006894.json,ap
451,00006895.json,ap
452,00006896.json,ap
453,00006897.json,supine
454,00006898.json,supine
455,00006899.json,pa
456,00006900.json,ap
457,00006901.json,ap
458,00006902.json,supine
459,00006903.json,pa
460,00006904.json,pa
461,00006905.json,pa
462,00006906.json,pa
463,00006907.json,pa
464,00006908.json,pa
465,00006909.json,pa
466,00006910.json,pa
467,00006911.json,ap
468,00006912.json,pa
469,00006913.json,lateral
470,00006914.json,pa
471,00006915.json,supine
472,00006916.json,supine
473,00006917.json,supine
474,00006918.json,pa
475,00006919.json,ap
476,00006920.json,ap
477,00006921.json,supine
478,00006922.json,supine
479,00006923.json,supine
480,00006924.json,supine
481,00006925.json,ap
482,00006926.json,pa
483,00006927.json,pa
484,00006928.json,pa
485,00006929.json,pa
486,00006930.json,pa
487,00006931.json,pa
488,00006932.json,pa
489,00006933.json,lateral
490,00006934.json,supine
491,00006935.json,supine
492,00006936.json,pa
493,00006937.json,pa
494,00006938.json,supine
495,00006939.json,supine
496,00006940.json,ap
497,00006941.json,supine
498,00006942.json,axial
499,00006943.json,supine
500,00006944.json,pa
501,00006945.json,pa
502,00006946.json,pa
503,00006947.json,ap
504,00006948.json,pa
505,00006949.json,pa
506,00006950.json,supine
507,00006951.json,pa
508,00006952.json,pa
509,00006953.json,pa
510,00006954.json,pa
511,00006955.json,pa
512,00006956.json,pa
513,00006957.json,pa
514,00006958.json,pa
515,00006959.json,pa
516,00006960.json,pa
517,00006961.json,pa
518,00006962.json,pa
519,00006963.json,pa
520,00006965.json,axial
521,00006966.json,pa
522,00006967.json,pa
523,00006968.json,ap
524,00006969.json,ap
525,00006970.json,pa
526,00006971.json,ap
527,00006972.json,pa
528,00006973.json,ap
529,00006974.json,pa
530,00006975.json,pa
531,00006977.json,ap
532,00006978.json,ap
533,00006979.json,ap
534,00006980.json,ap
535,00006981.json,ap
536,00006982.json,ap
537,00006983.json,axial
538,00006984.json,axial
539,00006985.json,pa
540,00006986.json,coronal
541,00006987.json,axial
542,00006988.json,pa
543,00006989.json,axial
544,00006990.json,coronal
545,00006991.json,pa
546,00006992.json,coronal
547,00006993.json,axial
548,00006994.json,axial
549,00006995.json,pa
550,00006996.json,pa
551,00006997.json,pa
552,00006998.json,pa
553,00006999.json,pa
554,00007000.json,pa
555,00007001.json,supine
556,00007003.json,pa
557,00007004.json,pa
558,00007005.json,pa
559,00007006.json,supine
560,00007007.json,supine
561,00007008.json,lateral
562,00007009.json,pa
563,00007010.json,lateral
564,00007011.json,pa
565,00007012.json,pa
566,00007013.json,lateral
567,00007014.json,pa
568,00007015.json,supine
569,00007016.json,supine
570,00007017.json,lateral
571,00007018.json,pa
572,00007019.json,pa
573,00007020.json,pa
574,00007021.json,pa
575,00007022.json,pa
576,00007023.json,lateral
577,00007024.json,pa
578,00007025.json,pa
579,00007026.json,lateral
580,00007027.json,pa
581,00007028.json,pa
582,00007029.json,pa
583,00007030.json,pa
584,00007031.json,pa
585,00007032.json,pa
586,00007033.json,lateral
587,00007034.json,pa
588,00007035.json,pa
589,00007036.json,pa
590,00007037.json,pa
591,00007038.json,ap
592,00007039.json,ap
593,00007040.json,ap
594,00007041.json,ap
595,00007042.json,pa
596,00007043.json,pa
597,00007044.json,ap
598,00007045.json,ap
599,00007046.json,ap
600,00007047.json,ap
601,00007048.json,ap
602,00007049.json,ap
603,00007050.json,ap
604,00007051.json,ap
605,00007052.json,ap
606,00007054.json,lateral
607,00007055.json,pa
608,00007056.json,supine
609,00007057.json,pa
610,00007058.json,pa
611,00007059.json,pa
612,00007060.json,pa
613,00007061.json,pa
614,00007062.json,pa
615,00007063.json,pa
616,00007064.json,pa
617,00007065.json,ap
618,00007066.json,ap
619,00007067.json,ap
620,00007068.json,pa
621,00007069.json,pa
622,00007070.json,pa
623,00007071.json,ap
624,00007072.json,ap
625,00007073.json,ap
626,00007074.json,ap
627,00007075.json,ap
628,00007076.json,pa
629,00007077.json,pa
630,00007078.json,pa
631,00007079.json,pa
632,00007080.json,pa
633,00007081.json,pa
634,00007082.json,pa
635,00007083.json,pa
636,00007084.json,pa
637,00007085.json,pa
638,00007086.json,pa
639,00007087.json,pa
640,00007088.json,pa
641,00007089.json,pa
642,00007090.json,pa
643,00007091.json,pa
644,00007092.json,supine
645,00007093.json,supine
